platform,writable_id,layer,controller,direction_tested,duration_domain,slope_domain,hazard_reached,target_hazard,first_hazard_time,pre_hazard_alarm_count,pre_hazard_alarm_ids,alarm_signature_stable,alarm_signature_count,first_alarm_time,best_replay_parameter,in_W_rank_top_k,in_W_hd,selected_for_region_search
tennessee_eastman,a_feed_sp,setpoint,DecentralizedController(L13->L3),pos/neg,100..1000,0.25..1.0,no,,,,,,,,,no,no,no
tennessee_eastman,ac_feed_sp,setpoint,DecentralizedController(L17->L4),pos/neg,100..1000,0.25..1.0,no,,,,,,,,,no,no,no
tennessee_eastman,ctrl13_primary_output,controller_output,DecentralizedController(L13),pos/neg,100..1000,0.25..1.0,no,,,,,,,,,no,no,no
tennessee_eastman,ctrl13_scaled_output,controller_output,DecentralizedController(L13->L3),pos/neg,100..1000,0.25..1.0,no,,,,,,,,,no,no,no
tennessee_eastman,ctrl14_primary_output,controller_output,DecentralizedController(L14),pos/neg,100..1000,0.25..1.0,no,,,,,,,,,no,no,no
tennessee_eastman,ctrl14_scaled_output,controller_output,DecentralizedController(L14->L1),pos/neg,100..1000,0.25..1.0,no,,,,,,,,,no,no,no
tennessee_eastman,ctrl15_primary_output,controller_output,DecentralizedController(L15),pos/neg,100..1000,0.25..1.0,no,,,,,,,,,no,no,no
tennessee_eastman,ctrl15_scaled_output,controller_output,DecentralizedController(L15->L2),pos/neg,100..1000,0.25..1.0,no,,,,,,,,,no,no,no
tennessee_eastman,ctrl16_primary_output,controller_output,DecentralizedController(L16),pos/neg,100..1000,0.25..1.0,no,,,,,,,,,no,no,no
tennessee_eastman,ctrl16_scaled_output,controller_output,DecentralizedController(L16->L9),pos/neg,100..1000,0.25..1.0,no,,,,,,,,,no,no,no
tennessee_eastman,ctrl17_primary_output,controller_output,DecentralizedController(L17),pos/neg,100..1000,0.25..1.0,no,,,,,,,,,no,no,no
tennessee_eastman,ctrl17_scaled_output,controller_output,DecentralizedController(L17->L4),pos/neg,100..1000,0.25..1.0,no,,,,,,,,,no,no,no
tennessee_eastman,ctrl18_primary_output,controller_output,DecentralizedController(L18),pos/neg,100..1000,0.25..1.0,no,,,,,,,,,no,no,no
tennessee_eastman,ctrl18_scaled_output,controller_output,DecentralizedController(L18->L10),pos/neg,100..1000,0.25..1.0,no,,,,,,,,,no,no,no
tennessee_eastman,ctrl19_primary_output,controller_output,DecentralizedController(L19),pos/neg,100..1000,0.25..1.0,no,,,,,,,,,no,no,no
tennessee_eastman,ctrl19_scaled_output,controller_output,DecentralizedController(L19->L6),pos/neg,100..1000,0.25..1.0,no,,,,,,,,,no,no,no
tennessee_eastman,ctrl20_primary_output,controller_output,DecentralizedController(L20),pos/neg,100..1000,0.25..1.0,no,,,,,,,,,no,no,no
tennessee_eastman,ctrl20_scaled_output,controller_output,DecentralizedController(L20->L16),pos/neg,100..1000,0.25..1.0,no,,,,,,,,,no,no,no
tennessee_eastman,cw_temp_setpoint,setpoint,DecentralizedController(L18->L10),pos/neg,100..1000,0.25..1.0,no,,,,,,,,,no,no,no
tennessee_eastman,d_feed_sp,setpoint,DecentralizedController(L14->L1),pos/neg,100..1000,0.25..1.0,no,,,,,,,,,no,no,no
tennessee_eastman,e_feed_sp,setpoint,DecentralizedController(L15->L2),pos/neg,100..1000,0.25..1.0,no,,,,,,,,,no,no,no
tennessee_eastman,product_e_comp_sp,setpoint,DecentralizedController(L20),pos/neg,100..1000,0.25..1.0,no,,,,,,,,,no,no,no
tennessee_eastman,purge_b_comp_sp,setpoint,DecentralizedController(L19),pos/neg,100..1000,0.25..1.0,no,,,,,,,,,no,no,no
tennessee_eastman,purge_normal_ctrl_output,controller_output,DecentralizedController(L6-normal),pos/neg,100..1000,0.25..1.0,no,,,,,,,,,no,no,no
tennessee_eastman,purge_override_high_output,controller_output,DecentralizedController(L22-high),pos/neg,100..1000,0.25..1.0,no,,,,,,,,,no,no,no
tennessee_eastman,purge_override_low_output,controller_output,DecentralizedController(L22-low),pos/neg,100..1000,0.25..1.0,no,,,,,,,,,no,no,no
tennessee_eastman,purge_rate_sp,setpoint,DecentralizedController(L19->L6),pos/neg,100..1000,0.25..1.0,no,,,,,,,,,no,no,no
tennessee_eastman,reactor_feed_a_comp_sp,setpoint,DecentralizedController(L13),pos/neg,100..1000,0.25..1.0,no,,,,,,,,,no,no,no
tennessee_eastman,reactor_feed_d_comp_sp,setpoint,DecentralizedController(L14),pos/neg,100..1000,0.25..1.0,no,,,,,,,,,no,no,no
tennessee_eastman,reactor_feed_e_comp_sp,setpoint,DecentralizedController(L15),pos/neg,100..1000,0.25..1.0,no,,,,,,,,,no,no,no
tennessee_eastman,reactor_level_sp,setpoint,DecentralizedController(L17),pos/neg,100..1000,0.25..1.0,no,,,,,,,,,no,no,no
tennessee_eastman,reactor_temp_setpoint,setpoint,DecentralizedController(L18),pos/neg,100..1000,0.25..1.0,no,,,,,,,,,no,no,no
tennessee_eastman,recycle_sp,setpoint,DecentralizedController(L5),pos/neg,100..1000,0.25..1.0,no,,,,,,,,,no,no,no
tennessee_eastman,separator_level_sp,setpoint,DecentralizedController(L7),pos/neg,100..1000,0.25..1.0,no,,,,,,,,,no,no,no
tennessee_eastman,separator_pressure_sp,setpoint,DecentralizedController(L22),pos/neg,100..1000,0.25..1.0,no,,,,,,,,,no,no,no
tennessee_eastman,steam_flow_setpoint,setpoint,DecentralizedController(L16->L9),pos/neg,100..1000,0.25..1.0,no,,,,,,,,,no,no,no
tennessee_eastman,stripper_level_sp,setpoint,DecentralizedController(L8),pos/neg,100..1000,0.25..1.0,no,,,,,,,,,no,no,no
tennessee_eastman,stripper_temp_setpoint,setpoint,DecentralizedController(L20->L16),pos/neg,100..1000,0.25..1.0,no,,,,,,,,,no,no,no
tennessee_eastman,stripper_underflow_sp,setpoint,DecentralizedController(L11),pos/neg,100..1000,0.25..1.0,no,,,,,,,,,no,no,no
tennessee_eastman,xmv_01,actuator,DecentralizedController(L1),pos/neg,100..1000,0.25..1.0,yes,H-TEP-REACTOR-PRESSURE,799,2,A-TEP-ACFEED-TRACK|A-TEP-DFEED-TRACK,yes,1,14,"{""amp"": -1.0, ""direction"": ""neg"", ""duration"": 1000}",yes,yes,no
tennessee_eastman,xmv_01_ctrl_output,controller_output,DecentralizedController(L1),pos/neg,100..1000,0.25..1.0,no,,,,,,,,,no,no,no
tennessee_eastman,xmv_02,actuator,DecentralizedController(L2),pos/neg,100..1000,0.25..1.0,no,,,,,,,,,no,no,no
tennessee_eastman,xmv_02_ctrl_output,controller_output,DecentralizedController(L2),pos/neg,100..1000,0.25..1.0,no,,,,,,,,,no,no,no
tennessee_eastman,xmv_03,actuator,DecentralizedController(L3),pos/neg,100..1000,0.25..1.0,no,,,,,,,,,no,no,no
tennessee_eastman,xmv_03_ctrl_output,controller_output,DecentralizedController(L3),pos/neg,100..1000,0.25..1.0,no,,,,,,,,,no,no,no
